.groups,time,HR1,HR2,Resp1,Resp2,group,trial,condition
1,5.3577917,NaN,NaN,-1.2634535409505843,0.5029609219256351,4,2,MovementCoop
2,5.3594583,NaN,NaN,-1.3470147384423847,0.1738081897583737,4,2,MovementCoop
3,5.361125,NaN,NaN,-1.3851509601802936,-0.07605302335580766,4,2,MovementCoop
4,5.3627917,NaN,NaN,-1.396417413595113,-0.09142713030672318,4,2,MovementCoop
5,5.3644583,NaN,NaN,-1.4506691440663655,-0.5377138042300641,4,2,MovementCoop
6,5.366125,NaN,NaN,-1.5516324032694748,-0.8122059011461297,4,2,MovementCoop
7,5.3677917,NaN,NaN,-1.6206304807461798,-0.9185357094598836,4,2,MovementCoop
8,5.3694583,NaN,NaN,-1.4819174208296972,-1.06186373201924,4,2,MovementCoop
9,5.371125,NaN,NaN,-1.1277714097717602,-1.2334373175721216,4,2,MovementCoop
10,5.3727917,NaN,NaN,-0.7160459744222399,-1.3742493884251952,4,2,MovementCoop
11,5.3744583,NaN,NaN,-0.3061983220908836,-1.4660275169571875,4,2,MovementCoop
12,5.376125,NaN,NaN,0.06500091467748968,-1.5149732002250238,4,2,MovementCoop
13,5.3777917,NaN,NaN,0.35582634014048464,-1.534207769611093,4,2,MovementCoop
14,5.3794583,NaN,NaN,0.5561263274966196,-1.543381915327072,4,2,MovementCoop
15,5.381125,NaN,NaN,0.6750305628388722,-1.569750892205974,4,2,MovementCoop
16,5.3827917,NaN,NaN,0.7310636178886534,-1.589287924346047,4,2,MovementCoop
17,5.3844583,NaN,NaN,0.7482430568491246,-1.478516328746876,4,2,MovementCoop
18,5.386125,NaN,NaN,0.7495993476639644,-1.1865478391471496,4,2,MovementCoop
19,5.3877917,NaN,NaN,0.7472166137679943,-0.7471721876257236,4,2,MovementCoop
20,5.3894583,NaN,NaN,0.7097858942450934,-0.27170473342485535,4,2,MovementCoop
21,5.391125,NaN,NaN,0.5665177545792847,0.14760800840935806,4,2,MovementCoop
22,5.3927917,NaN,NaN,0.37400188010569163,0.4849537713306877,4,2,MovementCoop
23,5.3944583,NaN,NaN,0.17422583189452584,0.736685427271538,4,2,MovementCoop
24,5.396125,NaN,NaN,-0.07513362257924797,0.9110664954197021,4,2,MovementCoop
25,5.3977917,NaN,NaN,-0.40860292780040314,0.9948657244539516,4,2,MovementCoop
26,5.3994583,NaN,NaN,-0.6935079290151466,0.9561055619038481,4,2,MovementCoop
27,5.401125,NaN,NaN,-0.747244920842014,0.8225098404422578,4,2,MovementCoop
28,5.4027917,NaN,NaN,-0.5589799712713077,0.5951211803550717,4,2,MovementCoop
29,5.4044583,NaN,NaN,-0.21755629496797044,0.26450289729956866,4,2,MovementCoop
30,5.406125,NaN,NaN,0.10940678817518541,-0.06309975581452766,4,2,MovementCoop
31,5.4077917,NaN,NaN,0.3397618746098501,-0.3075952922780123,4,2,MovementCoop
32,5.4094583,NaN,NaN,0.3858694002661223,-0.45811956089857553,4,2,MovementCoop
33,5.411125,NaN,NaN,0.6625184203715545,-0.5365553735484513,4,2,MovementCoop
34,5.4127917,NaN,NaN,0.6418451402530753,-0.5698061659141543,4,2,MovementCoop
35,5.4144583,NaN,NaN,0.4547879032005408,-0.6067226103890805,4,2,MovementCoop
36,5.416125,NaN,NaN,0.15566959674823208,-0.668581622582048,4,2,MovementCoop
37,5.4177917,NaN,NaN,-0.30215235302015925,-0.7237771602905666,4,2,MovementCoop
38,5.4194583,NaN,NaN,-0.8242453783959707,-0.7579344723095244,4,2,MovementCoop
39,5.421125,NaN,NaN,-1.2599438925495514,-0.7691433671454081,4,2,MovementCoop
40,5.4227917,NaN,NaN,-1.567773996400751,-0.7572004711055899,4,2,MovementCoop
41,5.4244583,NaN,NaN,-1.7476118257635138,-0.7220836651658779,4,2,MovementCoop
42,5.426125,NaN,NaN,-1.7674872071504804,-0.674316476065492,4,2,MovementCoop
43,5.4277917,NaN,NaN,-1.7674872071504804,-0.5338559128478529,4,2,MovementCoop
44,5.4294583,NaN,NaN,-1.7674872071504804,-0.24451593911506905,4,2,MovementCoop
45,5.431125,NaN,NaN,-1.7674872071504804,0.08840182443519147,4,2,MovementCoop
46,5.4327917,NaN,NaN,-1.7674872071504804,0.43375714533849047,4,2,MovementCoop
47,5.4344583,NaN,NaN,-1.7674872071504804,0.7871008124936512,4,2,MovementCoop
48,5.436125,NaN,NaN,-1.7674872071504804,1.1097206505432726,4,2,MovementCoop
49,5.4377917,NaN,NaN,-1.7506899315360827,1.3640077114288502,4,2,MovementCoop
50,5.4394583,NaN,NaN,-1.4970017883539526,1.5406107227946744,4,2,MovementCoop
51,5.441125,NaN,NaN,-1.09290180619073,1.6385930505609585,4,2,MovementCoop
52,5.4427917,NaN,NaN,-0.6680491161832405,1.6578051694171083,4,2,MovementCoop
53,5.4444583,NaN,NaN,-0.256382701066191,1.5713525181197037,4,2,MovementCoop
54,5.446125,NaN,NaN,0.10499216287626639,1.3642291016174053,4,2,MovementCoop
55,5.4477917,NaN,NaN,0.3952825400792252,1.0802214221403945,4,2,MovementCoop
56,5.4494583,NaN,NaN,0.6040987652580047,0.7961942551107919,4,2,MovementCoop
57,5.451125,NaN,NaN,0.7293552611099703,0.5547360167187522,4,2,MovementCoop
58,5.4527917,NaN,NaN,0.7899522048989988,0.37538069643814426,4,2,MovementCoop
59,5.4544583,NaN,NaN,0.7986652257687122,0.2419084202911147,4,2,MovementCoop
60,5.456125,NaN,NaN,0.732476530933152,0.13231114895780646,4,2,MovementCoop
61,5.4577917,NaN,NaN,0.5751995035347784,0.050968148438921855,4,2,MovementCoop
62,5.4594583,NaN,NaN,0.391556288403801,-0.009471814947621265,4,2,MovementCoop
63,5.461125,NaN,NaN,0.21270599575001742,-0.1190646816593771,4,2,MovementCoop
64,5.4627917,NaN,NaN,0.03543280592509372,-0.26780479601792717,4,2,MovementCoop
65,5.4644583,NaN,NaN,-0.1881478736273094,-0.3955265489505622,4,2,MovementCoop
66,5.466125,NaN,NaN,-0.5109621182729965,-0.4824187930700059,4,2,MovementCoop
67,5.4677917,NaN,NaN,-0.9256909297972556,-0.5323525459653621,4,2,MovementCoop
68,5.4694583,NaN,NaN,-1.3094144948023374,-0.5541138612782945,4,2,MovementCoop
69,5.471125,NaN,NaN,-1.6047051972562971,-0.5546046360925502,4,2,MovementCoop
70,5.4727917,NaN,NaN,-1.7616356887789444,-0.5369222901148757,4,2,MovementCoop
71,5.4744583,NaN,NaN,-1.7674872071504804,-0.4453586840391494,4,2,MovementCoop
72,5.476125,NaN,NaN,-1.668029551141372,-0.20648747983147164,4,2,MovementCoop
73,5.4777917,NaN,NaN,-1.246598077063875,0.09274414377484567,4,2,MovementCoop
74,5.4794583,NaN,NaN,-0.7299778324318286,0.41135739896709006,4,2,MovementCoop
75,5.481125,NaN,NaN,-0.19003882119152207,0.744776963374374,4,2,MovementCoop
76,5.4827917,NaN,NaN,0.3188918114443018,1.053616421297385,4,2,MovementCoop
77,5.4844583,NaN,NaN,0.7628110707475095,1.2991950092850566,4,2,MovementCoop
78,5.486125,NaN,NaN,1.0964217113180643,1.454981402483175,4,2,MovementCoop
79,5.4877917,NaN,NaN,1.3025764470087062,1.536790293153433,4,2,MovementCoop
80,5.4894583,NaN,NaN,1.3570217305640566,1.5744942158641613,4,2,MovementCoop
81,5.491125,NaN,NaN,1.2885971183312097,1.5737491248663578,4,2,MovementCoop
82,5.4927917,NaN,NaN,1.1585661010032187,1.53979333225231,4,2,MovementCoop
83,5.4944583,NaN,NaN,1.0527715023390933,1.5046831375915926,4,2,MovementCoop
84,5.496125,NaN,NaN,1.0613752427949532,1.4701694503957183,4,2,MovementCoop
85,5.4977917,NaN,NaN,1.1037470226422197,1.3984063568644414,4,2,MovementCoop
86,5.4994583,NaN,NaN,1.0766345177079737,1.275145630720075,4,2,MovementCoop
87,5.501125,NaN,NaN,0.9768661490488181,1.1335442198092605,4,2,MovementCoop
88,5.5027917,NaN,NaN,0.8081519206476557,0.9853126943511459,4,2,MovementCoop
89,5.5044583,NaN,NaN,0.6194487727672117,0.8234957367367749,4,2,MovementCoop
90,5.506125,NaN,NaN,0.44854095905921676,0.6328797986130377,4,2,MovementCoop
91,5.5077917,NaN,NaN,0.29859673062643166,0.37520827868658646,4,2,MovementCoop
92,5.5094583,NaN,NaN,0.15350552155763492,0.03965966655862691,4,2,MovementCoop
93,5.511125,NaN,NaN,0.008864794445632582,-0.33053488007842896,4,2,MovementCoop
94,5.5127917,NaN,NaN,-0.19912969879001438,-0.6385850819792417,4,2,MovementCoop
95,5.5144583,NaN,NaN,-0.5282480481338464,-0.8405619939157357,4,2,MovementCoop
96,5.516125,NaN,NaN,-0.9402004128514988,-0.9444067322811773,4,2,MovementCoop
97,5.5177917,NaN,NaN,-1.3169029192565305,-0.958036529408465,4,2,MovementCoop
98,5.5194583,NaN,NaN,-1.607589211617606,-0.8616974978311255,4,2,MovementCoop
99,5.521125,NaN,NaN,-1.7619224214008735,-0.6311168874838349,4,2,MovementCoop
100,5.5227917,NaN,NaN,-1.7674872071504804,-0.3364421875356476,4,2,MovementCoop
101,5.5244583,NaN,NaN,-1.7674872071504804,-0.026663154288853026,4,2,MovementCoop
102,5.526125,NaN,NaN,-1.7674872071504804,0.26843148647991744,4,2,MovementCoop
103,5.5277917,NaN,NaN,-1.7674872071504804,0.5396648941217612,4,2,MovementCoop
104,5.5294583,NaN,NaN,-1.7674872071504804,0.7790068857245119,4,2,MovementCoop
105,5.531125,NaN,NaN,-1.7400980509938815,0.9814064180562928,4,2,MovementCoop
106,5.5327917,NaN,NaN,-1.4169640400140613,1.1287804912003574,4,2,MovementCoop
107,5.5344583,NaN,NaN,-0.9450122746570229,1.1840087223572375,4,2,MovementCoop
108,5.536125,NaN,NaN,-0.4401481164629062,1.18503446309014,4,2,MovementCoop
109,5.5377917,NaN,NaN,0.02395219617752743,1.0870038148867593,4,2,MovementCoop
110,5.5394583,NaN,NaN,0.32019103957998646,0.8430261764334058,4,2,MovementCoop
111,5.541125,NaN,NaN,0.3507778590779155,0.46626796128338993,4,2,MovementCoop
112,5.5427917,NaN,NaN,0.7479505983837468,0.046002785238459715,4,2,MovementCoop
113,5.5444583,NaN,NaN,1.0643636436868262,-0.3405874725052652,4,2,MovementCoop
114,5.546125,NaN,NaN,1.1105383623606628,-0.7154599970140421,4,2,MovementCoop
115,5.5477917,NaN,NaN,1.0379709800456263,-1.0255707660717222,4,2,MovementCoop
116,5.5494583,NaN,NaN,0.8821917745668235,-1.2242512909690604,4,2,MovementCoop
117,5.551125,NaN,NaN,0.6756850218511711,-1.3476044851882538,4,2,MovementCoop
118,5.5527917,NaN,NaN,0.4569656323255155,-1.433207703770389,4,2,MovementCoop
119,5.5544583,NaN,NaN,0.2569552160436177,-1.4677033015912362,4,2,MovementCoop
120,5.556125,NaN,NaN,0.0983415223023952,-1.4754677148549298,4,2,MovementCoop
121,5.5577917,NaN,NaN,-0.014087175610082903,-1.5065165731554857,4,2,MovementCoop
122,5.5594583,NaN,NaN,-0.09207438685169247,-1.544971708418642,4,2,MovementCoop
123,5.561125,NaN,NaN,-0.15412153507588539,-1.5730445783717628,4,2,MovementCoop
124,5.5627917,NaN,NaN,-0.20921095154979377,-1.574066262216393,4,2,MovementCoop
125,5.5644583,NaN,NaN,-0.25637986261388307,-1.48994185909826,4,2,MovementCoop
