.groups,time,HR1,HR2,Resp1,Resp2,group,trial,condition
1,1189114.5,1.4276284062335316,1.0920217229298044,0.955284857850987,-1.2877049526115003,5,2,TurnTaking
2,1189214.5,1.4276284062335316,1.0920217229298044,0.7727365785488813,-1.3596548104854727,5,2,TurnTaking
3,1189314.5,1.4276284062335316,1.0624246367176016,0.6418759841286471,-1.3369772652486656,5,2,TurnTaking
4,1189414.5,1.4276284062335316,1.0198337077780903,0.5423424068876371,-1.1344867968760157,5,2,TurnTaking
5,1189514.5,1.4276284062335316,1.0198337077780903,0.44137652690300433,-0.7475301828450327,5,2,TurnTaking
6,1189614.5,1.4276284062335316,1.0198337077780903,0.31976995188152074,-0.24114598145659158,5,2,TurnTaking
7,1189714.5,1.4276284062335316,1.0198337077780903,0.1970697303914653,0.348809779676131,5,2,TurnTaking
8,1189814.5,1.4276284062335316,1.0198337077780903,0.10115152845999313,0.9115914060373367,5,2,TurnTaking
9,1189914.5,1.4276284062335316,1.091919020418508,0.07988861382718274,1.34546827586221,5,2,TurnTaking
10,1190014.5,0.6777423534117162,1.1836639637790396,0.15668305901816795,1.6103792607526155,5,2,TurnTaking
11,1190114.5,0.2739575557384309,1.1836639637790396,0.3392767358269999,1.6844430234549845,5,2,TurnTaking
12,1190214.5,0.2739575557384309,1.1836639637790396,0.6456810480152849,1.5419725691635686,5,2,TurnTaking
13,1190314.5,0.2739575557384309,1.1836639637790396,0.983814795482619,1.3077288093558173,5,2,TurnTaking
14,1190414.5,0.2739575557384309,1.1836639637790396,1.246362948955664,1.0935749479532857,5,2,TurnTaking
15,1190514.5,0.2739575557384309,1.4228620626853081,1.3740830168615903,0.941999167702314,5,2,TurnTaking
16,1190614.5,0.2739575557384309,1.5460853257582343,1.3208130349613598,0.8360774198428992,5,2,TurnTaking
17,1190714.5,0.2739575557384309,1.5460853257582343,1.1969682944198183,0.765012276324443,5,2,TurnTaking
18,1190814.5,0.2739575557384309,1.5460853257582343,1.0892010010405264,0.7060988248081841,5,2,TurnTaking
19,1190914.5,0.2739575557384309,1.5460853257582343,1.0087452127128411,0.6382430853865648,5,2,TurnTaking
20,1191014.5,-0.3872050396966598,1.5460853257582343,0.9381066922467564,0.549728561206337,5,2,TurnTaking
21,1191114.5,-0.7432156680078625,1.5636632555762997,0.8242443843651566,0.46088318623184527,5,2,TurnTaking
22,1191214.5,-0.7432156680078625,1.5658358086998807,0.6905510083380202,0.3892750095371654,5,2,TurnTaking
23,1191314.5,-0.7432156680078625,1.5658358086998807,0.5555182917983714,0.32852376978286485,5,2,TurnTaking
24,1191414.5,-0.7432156680078625,1.5658358086998807,0.41126714385519464,0.2643820372358175,5,2,TurnTaking
25,1191514.5,-0.7432156680078625,1.5658358086998807,0.26166228391276053,0.1913518193412944,5,2,TurnTaking
26,1191614.5,-0.7432156680078625,1.5827915983052832,0.1027946216368574,0.14900361641005594,5,2,TurnTaking
27,1191714.5,-0.7432156680078625,1.6655757475551896,-0.09602341687860451,0.13433613077587056,5,2,TurnTaking
28,1191814.5,-0.7432156680078625,1.6655757475551896,-0.29537504719423097,0.11555729123788781,5,2,TurnTaking
29,1191914.5,-0.7432156680078625,1.6655757475551896,-0.42884827953297106,0.06922700028867895,5,2,TurnTaking
30,1192014.5,-1.0497148844347255,1.6655757475551896,-0.41479638243214173,0.02055618161574185,5,2,TurnTaking
31,1192114.5,-1.21475292404919,1.6655757475551896,-0.25836900723890677,-0.03795270261460654,5,2,TurnTaking
32,1192214.5,-1.21475292404919,1.6487549195832216,-0.01762158057006491,-0.10644091323075099,5,2,TurnTaking
33,1192314.5,-1.21475292404919,1.6255261571457422,0.2921447705899713,-0.20436925466022293,5,2,TurnTaking
34,1192414.5,-1.21475292404919,1.6255261571457422,0.6358373172854417,-0.3180355430054265,5,2,TurnTaking
35,1192514.5,-1.21475292404919,1.6255261571457422,0.9641479796227252,-0.43934575406582976,5,2,TurnTaking
36,1192614.5,-1.21475292404919,1.6255261571457422,1.241921179333986,-0.5695443340179558,5,2,TurnTaking
37,1192714.5,-1.21475292404919,1.6255261571457422,1.4442274117016995,-0.6730885212241892,5,2,TurnTaking
38,1192814.5,-1.21475292404919,1.7661989718976117,1.5572227184560974,-0.7249766629851672,5,2,TurnTaking
39,1192914.5,-1.21475292404919,1.8082181243559623,1.5704475368602626,-0.7235293508869238,5,2,TurnTaking
40,1193014.5,-0.9175869544383335,1.8082181243559623,1.4999998456121506,-0.5717405730637212,5,2,TurnTaking
41,1193114.5,-0.7575745092632569,1.8082181243559623,1.380316961422171,-0.18205050959839875,5,2,TurnTaking
42,1193214.5,-0.7575745092632569,1.8082181243559623,1.2396098987339996,0.3827283329267009,5,2,TurnTaking
43,1193314.5,-0.7575745092632569,1.8564959854087104,1.1143757435456423,0.9577039247284416,5,2,TurnTaking
44,1193414.5,-0.7575745092632569,2.0181218680635626,1.0022774367733938,1.3998322669318986,5,2,TurnTaking
45,1193514.5,-0.7575745092632569,2.0181218680635626,0.8885270257613882,1.6388542062851061,5,2,TurnTaking
46,1193614.5,-0.7575745092632569,2.0181218680635626,0.7276757890081736,1.6370589243969083,5,2,TurnTaking
47,1193714.5,-0.7575745092632569,2.0181218680635626,0.5318156604033293,1.485692298678319,5,2,TurnTaking
48,1193814.5,-0.7575745092632569,2.0181218680635626,0.36141919863661,1.317015340467036,5,2,TurnTaking
49,1193914.5,-0.7575745092632569,2.4899477385508453,0.24503710100352732,1.1786916426283278,5,2,TurnTaking
