.groups,time,HR1,HR2,Resp1,Resp2,group,trial,condition
1,10.381224,-1.2900541173730538,1.957119259511017,NaN,-1.8484387947493497,8,4,MovementCoop
2,10.382892,-1.2900541173730538,0.462162330609183,NaN,-1.3310281462478566,8,4,MovementCoop
3,10.384558,-1.2900541173730538,0.08842309838372452,NaN,-0.9326800081778783,8,4,MovementCoop
4,10.386225,-1.2900541173730538,0.08842309838372452,NaN,-0.6918842767312109,8,4,MovementCoop
5,10.387893,-0.21039291197351273,0.08842309838372452,NaN,-0.6090777857998468,8,4,MovementCoop
6,10.389557,0.47988228492127577,0.08842309838372452,NaN,-0.6537891598667492,8,4,MovementCoop
7,10.391224,0.47988228492127577,0.08842309838372452,NaN,-0.7828710474641666,8,4,MovementCoop
8,10.392892,0.47988228492127577,0.08842309838372452,NaN,-0.9631838197698268,8,4,MovementCoop
9,10.39456,0.47988228492127577,-0.030643712477686463,NaN,-1.1888333083918232,8,4,MovementCoop
10,10.396225,0.5097729083250393,-0.24231804289797265,NaN,-1.452218378944033,8,4,MovementCoop
11,10.397892,0.5527862444426503,-0.24231804289797265,NaN,-1.6367759241699542,8,4,MovementCoop
12,10.399558,0.5527862444426503,-0.24231804289797265,NaN,-1.6027238727728939,8,4,MovementCoop
13,10.401224,0.5527862444426503,-0.24231804289797265,NaN,-1.3183111688517988,8,4,MovementCoop
14,10.402892,0.5527862444426503,-0.24231804289797265,NaN,-0.8776825369264815,8,4,MovementCoop
15,10.40456,0.5705007811592847,-0.24231804289797265,NaN,-0.4343743482152779,8,4,MovementCoop
16,10.406224,0.6183956396894444,-0.23799862981076503,NaN,-0.0972139869400697,8,4,MovementCoop
17,10.407891,0.6183956396894444,-0.09833760665771824,NaN,0.10532767683347787,8,4,MovementCoop
18,10.409558,0.6183956396894444,-0.09833760665771824,NaN,0.19663375334283684,8,4,MovementCoop
19,10.411225,0.6183956396894444,-0.09833760665771824,NaN,0.22165474494744047,8,4,MovementCoop
20,10.412892,0.6198212059648195,-0.09833760665771824,NaN,0.20661381405430088,8,4,MovementCoop
21,10.414559,0.6278994148586113,-0.09833760665771824,NaN,0.17462517443571338,8,4,MovementCoop
22,10.416224,0.6278994148586113,-0.09833760665771824,NaN,0.13324362322792674,8,4,MovementCoop
23,10.417891,0.6278994148586113,-0.09833760665771824,NaN,0.09820606277559484,8,4,MovementCoop
24,10.419558,0.6278994148586113,-0.0516787967858881,NaN,0.08109252286196214,8,4,MovementCoop
25,10.421225,0.6279010821875884,-0.03694443577373121,NaN,0.08224295040201171,8,4,MovementCoop
26,10.422893,0.6279410980830378,-0.03694443577373121,NaN,0.10127197393429287,8,4,MovementCoop
27,10.424558,0.6279410980830378,-0.03694443577373121,NaN,0.12188966305770335,8,4,MovementCoop
28,10.426224,0.6279410980830378,-0.03694443577373121,NaN,0.12278986944843423,8,4,MovementCoop
29,10.427892,0.6279410980830378,-0.03694443577373121,NaN,0.10018985873383003,8,4,MovementCoop
30,10.429559,0.6279410980830378,-0.03694443577373121,NaN,0.06473870322239703,8,4,MovementCoop
31,10.431225,0.6549768374458526,0.021063125548255852,NaN,0.010388479102192464,8,4,MovementCoop
32,10.432893,0.6567025229370961,0.06306860098831545,NaN,-0.05678171748310762,8,4,MovementCoop
33,10.434557999999999,0.6567025229370961,0.06306860098831545,NaN,-0.10808983094114022,8,4,MovementCoop
34,10.436223,0.6567025229370961,0.06306860098831545,NaN,-0.09477397969444024,8,4,MovementCoop
35,10.437893,0.6567025229370961,0.06306860098831545,NaN,7.654258386200514e-4,8,4,MovementCoop
36,10.439559,0.6327959432319538,0.06306860098831545,NaN,0.11423664499331267,8,4,MovementCoop
37,10.441225,0.6278994148586113,0.06306860098831545,NaN,0.2017758541277003,8,4,MovementCoop
38,10.442891,0.6278994148586113,0.34563499919695034,NaN,0.25637524627790825,8,4,MovementCoop
39,10.444558,0.6278994148586113,0.4725851201312646,NaN,0.28309119831653334,8,4,MovementCoop
40,10.446223999999999,0.6278994148586113,0.4725851201312646,NaN,0.28248916510794525,8,4,MovementCoop
41,10.447892,0.6807329018187839,0.4725851201312646,NaN,0.23917682494746098,8,4,MovementCoop
42,10.449559,0.6956346545511403,0.4725851201312646,NaN,0.13568805357468047,8,4,MovementCoop
43,10.451224999999999,0.6956346545511403,0.4725851201312646,NaN,-0.009930124135668688,8,4,MovementCoop
44,10.452891,0.6956346545511403,0.4725851201312646,NaN,-0.1386449645477217,8,4,MovementCoop
45,10.454558,0.6956346545511403,0.2540006000600165,NaN,-0.21877983219204158,8,4,MovementCoop
46,10.456226000000001,0.7181269224515028,-0.0738761800468556,NaN,-0.24792125842974466,8,4,MovementCoop
47,10.457892,0.7252297438937225,-0.0738761800468556,NaN,-0.25175025984431953,8,4,MovementCoop
48,10.459559,0.7252297438937225,-0.0738761800468556,NaN,-0.26154567363583203,8,4,MovementCoop
49,10.461224,0.7252297438937225,-0.0738761800468556,NaN,-0.24412399101053797,8,4,MovementCoop
50,10.462892,0.7252297438937225,-0.0738761800468556,NaN,-0.16632739928598816,8,4,MovementCoop
51,10.464558,0.7179877004819195,-0.0738761800468556,NaN,-0.04670090835714517,8,4,MovementCoop
52,10.466226,0.7153091364802937,-0.06200748714237909,NaN,0.10350837811229487,8,4,MovementCoop
53,10.467892,0.7153091364802937,3.0315060612259983e-4,NaN,0.2898507499538112,8,4,MovementCoop
54,10.469559,0.7153091364802937,3.0315060612259983e-4,NaN,0.4687599950439746,8,4,MovementCoop
55,10.471223,0.7153091364802937,3.0315060612259983e-4,NaN,0.5716319193297982,8,4,MovementCoop
56,10.472892,0.7153091364802937,3.0315060612259983e-4,NaN,0.6076486701215096,8,4,MovementCoop
57,10.474559,0.7153091364802937,3.0315060612259983e-4,NaN,0.6113076980785926,8,4,MovementCoop
58,10.476225,0.7153091364802937,3.0315060612259983e-4,NaN,0.602043828709497,8,4,MovementCoop
59,10.477892,0.7153091364802937,0.12781928237791093,NaN,0.5826939548258164,8,4,MovementCoop
60,10.479558,0.7153091364802937,0.4725851201312646,NaN,0.55699152481625,8,4,MovementCoop
61,10.481223,0.736499220449582,0.4725851201312646,NaN,0.5302523339447336,8,4,MovementCoop
62,10.482892,0.7451543251694323,0.4725851201312646,NaN,0.4972737621697504,8,4,MovementCoop
63,10.48456,0.7451543251694323,0.4725851201312646,NaN,0.44127322987449363,8,4,MovementCoop
64,10.486224,0.7451543251694323,0.4725851201312646,NaN,0.3567994404431235,8,4,MovementCoop
65,10.487892,0.7451543251694323,0.4725851201312646,NaN,0.271032771532319,8,4,MovementCoop
66,10.489558,0.7451543251694323,0.5038730926903421,NaN,0.19389522187529296,8,4,MovementCoop
67,10.491225,0.7451543251694323,0.5421139480403258,NaN,0.12705352830841668,8,4,MovementCoop
68,10.492892,0.7451543251694323,0.5421139480403258,NaN,0.059673690771414586,8,4,MovementCoop
69,10.49456,0.7451543251694323,0.5421139480403258,NaN,-0.03115679705514835,8,4,MovementCoop
70,10.496224,0.7451543251694323,0.5421139480403258,NaN,-0.1320567905270227,8,4,MovementCoop
71,10.497892,0.7451543251694323,0.5421139480403258,NaN,-0.20824906028662238,8,4,MovementCoop
72,10.499557,0.7451543251694323,0.5421139480403258,NaN,-0.25421582278533406,8,4,MovementCoop
73,10.501226,0.7451543251694323,0.48230216591141234,NaN,-0.27597172326473646,8,4,MovementCoop
74,10.502892,0.7451543251694323,0.4313513885423379,NaN,-0.2871339455116184,8,4,MovementCoop
75,10.504558,0.7451543251694323,0.4313513885423379,NaN,-0.30070984702124653,8,4,MovementCoop
76,10.506224,0.7451543251694323,0.4313513885423379,NaN,-0.35976589969795697,8,4,MovementCoop
77,10.507892,0.7451543251694323,0.4313513885423379,NaN,-0.4889952942074727,8,4,MovementCoop
78,10.509558,0.7451543251694323,0.4313513885423379,NaN,-0.6560756223162058,8,4,MovementCoop
79,10.511225,0.7451543251694323,0.4313513885423379,NaN,-0.8128178993542223,8,4,MovementCoop
80,10.512893,0.7451543251694323,0.3169648131473056,NaN,-0.9428763093887537,8,4,MovementCoop
81,10.514557,0.7071925790200292,0.16533609692598383,NaN,-1.0203859612038575,8,4,MovementCoop
82,10.516224,0.68583909681099,0.16533609692598383,NaN,-1.0313684510875922,8,4,MovementCoop
83,10.517892,0.68583909681099,0.16533609692598383,NaN,-1.011809989371525,8,4,MovementCoop
84,10.51956,0.68583909681099,0.16533609692598383,NaN,-1.005171054999828,8,4,MovementCoop
85,10.521225,0.68583909681099,0.16533609692598383,NaN,-1.0161681481380684,8,4,MovementCoop
