.groups,time,HR1,HR2,Resp1,Resp2,group,trial,condition
1,6.3511583,1.851425546862294,1.4867400841222504,NaN,-0.4094255740520186,2,2,Synchronous
2,6.352825,1.851425546862294,1.4867400841222504,NaN,-0.2302262306826811,2,2,Synchronous
3,6.3544917,-0.009952514729858534,1.4867400841222504,NaN,0.008519986464957476,2,2,Synchronous
4,6.3561583,-0.2167722993512088,1.4867400841222504,NaN,0.23209225171190337,2,2,Synchronous
5,6.357825,-0.2167722993512088,1.4867400841222504,NaN,0.38352691602154126,2,2,Synchronous
6,6.3594917,-0.2167722993512088,1.4867400841222504,NaN,0.45821438742886234,2,2,Synchronous
7,6.3611583,-0.2167722993512088,1.4611423055938806,NaN,0.4840167292500077,2,2,Synchronous
8,6.362825,-0.2167722993512088,1.1667678525176277,NaN,0.46261712014416917,2,2,Synchronous
9,6.3644917,-0.2167722993512088,1.1667678525176277,NaN,0.3659589896484973,2,2,Synchronous
10,6.3661583,-1.3956450716929034,1.1667678525176277,NaN,0.19163590818596862,2,2,Synchronous
11,6.367825,-2.2849701455647082,1.1667678525176277,NaN,4.163411117624067e-4,2,2,Synchronous
12,6.3694917,-2.2849701455647082,1.1667678525176277,NaN,-0.12054427442180464,2,2,Synchronous
13,6.3711583,-2.2849701455647082,1.0744309874502966,NaN,-0.10390961253932847,2,2,Synchronous
14,6.372825,-2.2849701455647082,1.0618395967592968,NaN,0.04089646459827738,2,2,Synchronous
15,6.3744917,-2.2849701455647082,1.0618395967592968,NaN,0.2400804017087594,2,2,Synchronous
16,6.3761583,-2.2849701455647082,1.0618395967592968,NaN,0.42621892338881123,2,2,Synchronous
17,6.377825,-1.8886321555494547,1.0618395967592968,NaN,0.5710311071715412,2,2,Synchronous
18,6.3794917,-1.5371626172340414,1.1352893757901286,NaN,0.67006766595467,2,2,Synchronous
19,6.3811583,-1.5371626172340414,1.1667678525176277,NaN,0.7400337134581736,2,2,Synchronous
20,6.382825,-1.5371626172340414,1.1667678525176277,NaN,0.7888056168769398,2,2,Synchronous
21,6.3844917,-1.5371626172340414,1.1667678525176277,NaN,0.8328132440422246,2,2,Synchronous
22,6.3861583,-1.5371626172340414,1.1667678525176277,NaN,0.8852551966702558,2,2,Synchronous
23,6.387825,-1.5371626172340414,1.006578954018795,NaN,0.9115801928207563,2,2,Synchronous
24,6.3894917,-1.4090822561380463,0.8027021741111896,NaN,0.9043041096100537,2,2,Synchronous
25,6.3911583,-1.3124602293463306,0.8027021741111896,NaN,0.8873373878542877,2,2,Synchronous
26,6.392825,-1.3124602293463306,0.8027021741111896,NaN,0.8424455238115964,2,2,Synchronous
