.groups,time,HR1,HR2,Resp1,Resp2,group,trial,condition
1,1985723.5,2.065652169182181,1.7150282640640733,0.7645473705342676,-2.8721418659632607,7,3,Synchronous
2,1985823.5,2.065652169182181,1.7018015085397886,0.7239233496801211,-2.8431045436722564,7,3,Synchronous
3,1985923.5,2.065652169182181,1.7018015085397886,0.7079656068298628,-2.5101294062459254,7,3,Synchronous
4,1986023.5,2.2089436776433296,1.7018015085397886,0.7648554975988255,-2.0757609460833786,7,3,Synchronous
5,1986123.5,2.259289342778328,1.7018015085397886,0.8772008232931671,-1.6424490678852772,7,3,Synchronous
6,1986223.5,2.259289342778328,1.7018015085397886,0.9960568928665042,-1.2284812947170758,7,3,Synchronous
7,1986323.5,2.259289342778328,1.6832986124719516,1.089585479616808,-0.8347089459771638,7,3,Synchronous
8,1986423.5,2.259289342778328,1.5696379651980954,1.1412568762151745,-0.44364119167041244,7,3,Synchronous
9,1986523.5,2.259289342778328,1.5696379651980954,1.149250992865139,-0.09311066586124099,7,3,Synchronous
10,1986623.5,2.259289342778328,1.5696379651980954,1.1371999938100796,0.19136575134929648,7,3,Synchronous
11,1986723.5,2.259289342778328,1.5696379651980954,1.1193310203341242,0.3402324273814679,7,3,Synchronous
12,1986823.5,2.259289342778328,1.5696379651980954,1.087882806972056,0.3322501256335152,7,3,Synchronous
13,1986923.5,2.259289342778328,1.5696379651980954,1.0246775095138576,0.22827919694106583,7,3,Synchronous
14,1987023.5,2.3932794726200686,1.4729725888564729,0.9360639997764519,0.10760821938354666,7,3,Synchronous
15,1987123.5,2.4403570858077073,0.9654793630629551,0.8467741639399831,0.00938771674960573,7,3,Synchronous
16,1987223.5,2.4403570858077073,0.9654793630629551,0.771303360089747,-0.07698218338114539,7,3,Synchronous
17,1987323.5,2.4403570858077073,0.9654793630629551,0.7274187616095735,-0.17429863210951918,7,3,Synchronous
18,1987423.5,2.4403570858077073,0.9654793630629551,0.6816800297956338,-0.29151301643196703,7,3,Synchronous
19,1987523.5,2.4403570858077073,0.9654793630629551,0.6225775569918984,-0.40575369480031936,7,3,Synchronous
20,1987623.5,2.4403570858077073,0.9654793630629551,0.5467968908482613,-0.5032796626917408,7,3,Synchronous
21,1987723.5,2.4403570858077073,0.9654793630629551,0.4463160684233244,-0.5743433129946749,7,3,Synchronous
22,1987823.5,2.4403570858077073,0.4083281185055614,0.3295957350359963,-0.6222848919597447,7,3,Synchronous
23,1987923.5,2.4403570858077073,0.19165819006657497,0.2193686279793436,-0.6686371049035449,7,3,Synchronous
24,1988023.5,2.4160980848138465,0.19165819006657497,0.11751052963269808,-0.7409481746027297,7,3,Synchronous
25,1988123.5,2.4075746520322197,0.19165819006657497,0.045986131951216196,-0.8568430138576741,7,3,Synchronous
26,1988223.5,2.4075746520322197,0.19165819006657497,0.03597501834607381,-0.9890091680695552,7,3,Synchronous
27,1988323.5,2.4075746520322197,0.19165819006657497,0.06505249595881775,-1.1478779011223583,7,3,Synchronous
28,1988423.5,2.4075746520322197,0.19165819006657497,0.07827857546039844,-1.3210140378593334,7,3,Synchronous
29,1988523.5,2.4075746520322197,0.19165819006657497,0.06651744225207247,-1.4614159978177987,7,3,Synchronous
30,1988623.5,2.4075746520322197,-0.3111161800011274,0.02702065910634607,-1.5768471044782317,7,3,Synchronous
31,1988723.5,2.4075746520322197,-0.8138905500688298,-0.04254127738359649,-1.6674095161684401,7,3,Synchronous
32,1988823.5,2.4075746520322197,-0.8138905500688298,-0.1259562893970734,-1.5192870351770265,7,3,Synchronous
33,1988923.5,2.4075746520322197,-0.8138905500688298,-0.16434607917088187,-1.0938893531750067,7,3,Synchronous
34,1989023.5,2.4445287778985154,-0.8138905500688298,-0.1514044119396708,-0.6224792765557106,7,3,Synchronous
35,1989123.5,2.4575126599596464,-0.8138905500688298,-0.12420825291256754,-0.3105653080903083,7,3,Synchronous
36,1989223.5,2.4575126599596464,-0.8138905500688298,-0.09240787072530615,-0.1905224150667122,7,3,Synchronous
37,1989323.5,2.4575126599596464,-0.8138905500688298,-0.05899827036098243,-0.18471216017270542,7,3,Synchronous
38,1989423.5,2.4575126599596464,-0.5900785623227818,-0.03231640011097999,-0.23210440164820398,7,3,Synchronous
39,1989523.5,2.4575126599596464,-0.43454819795688393,-0.013844393297093902,-0.32099255185491293,7,3,Synchronous
40,1989623.5,2.4575126599596464,-0.43454819795688393,-0.0020619415629819587,-0.4452944066465624,7,3,Synchronous
41,1989723.5,2.4575126599596464,-0.43454819795688393,-0.011333434531262548,-0.6654976281443737,7,3,Synchronous
42,1989823.5,2.4575126599596464,-0.43454819795688393,-0.05271913821756099,-0.9205292721407329,7,3,Synchronous
43,1989923.5,2.4575126599596464,-0.43454819795688393,-0.11947785382653643,-1.1577943532479293,7,3,Synchronous
44,1990023.5,2.1305189237651923,-0.43454819795688393,-0.18050742220539082,-1.3636793283752757,7,3,Synchronous
45,1990123.5,2.0156292326698435,-0.43454819795688393,-0.21616579652035625,-1.4841419691578004,7,3,Synchronous
46,1990223.5,2.0156292326698435,-0.5415819185498953,-0.23054671213195602,-1.5099806952869683,7,3,Synchronous
47,1990323.5,2.0156292326698435,-0.6403822760203673,-0.23216518486284776,-1.4977172028755605,7,3,Synchronous
48,1990423.5,2.0156292326698435,-0.6403822760203673,-0.23216022706615333,-1.5350347887039535,7,3,Synchronous
49,1990523.5,2.0156292326698435,-0.6403822760203673,-0.22900632469900126,-1.6394167154837367,7,3,Synchronous
50,1990623.5,2.0156292326698435,-0.6403822760203673,-0.22174472251063654,-1.742261301316595,7,3,Synchronous
51,1990723.5,2.0156292326698435,-0.6403822760203673,-0.2483704043981023,-1.8277654569147068,7,3,Synchronous
52,1990823.5,2.0156292326698435,-0.6403822760203673,-0.3249358071285204,-1.8967457394676934,7,3,Synchronous
53,1990923.5,2.0156292326698435,-0.6403822760203673,-0.4402414332290971,-1.9519060339758836,7,3,Synchronous
54,1991023.5,2.0156292326698435,-0.47229699089694976,-0.584354419652517,-1.9571397564550925,7,3,Synchronous
55,1991123.5,2.0156292326698435,-0.381789529676648,-0.7164216953373514,-1.9164580401373967,7,3,Synchronous
56,1991223.5,2.0156292326698435,-0.381789529676648,-0.8454655413380419,-1.9625950584554928,7,3,Synchronous
57,1991323.5,2.0156292326698435,-0.381789529676648,-1.0260143672280562,-2.186291763695639,7,3,Synchronous
58,1991423.5,2.0156292326698435,-0.381789529676648,-1.1951020066097569,-2.4384956084236817,7,3,Synchronous
59,1991523.5,2.0156292326698435,-0.381789529676648,-1.3684514506599215,-2.669626933265483,7,3,Synchronous
60,1991623.5,2.0156292326698435,-0.381789529676648,-1.538363736891793,-2.8437915111312346,7,3,Synchronous
61,1991723.5,2.0156292326698435,-0.381789529676648,-1.669898875731427,-2.869978095825688,7,3,Synchronous
62,1991823.5,2.0156292326698435,-0.4386358656720421,-1.763049182593947,-2.869978095825688,7,3,Synchronous
63,1991923.5,2.0156292326698435,-0.4607427741146954,-1.8338977499560352,-2.869978095825688,7,3,Synchronous
64,1992023.5,2.0156292326698435,-0.4607427741146954,-1.9119232238129584,-2.869978095825688,7,3,Synchronous
65,1992123.5,2.0156292326698435,-0.4607427741146954,-1.9742360352362172,-2.869978095825688,7,3,Synchronous
66,1992223.5,2.0156292326698435,-0.4607427741146954,-2.0017907255942715,-2.869034077203919,7,3,Synchronous
67,1992323.5,2.0156292326698435,-0.4607427741146954,-2.009846732072971,-2.802594037144682,7,3,Synchronous
68,1992423.5,2.0156292326698435,-0.4607427741146954,-2.0100684282151566,-2.571304981736568,7,3,Synchronous
69,1992523.5,2.0156292326698435,-0.4607427741146954,-1.9938370976173114,-2.2432034113884045,7,3,Synchronous
70,1992623.5,2.0156292326698435,-0.33110740425974966,-1.961645214751081,-1.819928115942091,7,3,Synchronous
71,1992723.5,2.0156292326698435,-0.3150850551765541,-1.9168809378774285,-1.3288807020556719,7,3,Synchronous
72,1992823.5,2.0156292326698435,-0.3150850551765541,-1.8731403633912278,-0.9563390767235349,7,3,Synchronous
73,1992923.5,2.0156292326698435,-0.3150850551765541,-1.8464280853214996,-0.7397149438631184,7,3,Synchronous
74,1993023.5,2.0156292326698435,-0.3150850551765541,-1.8500190174672644,-0.6331874557217834,7,3,Synchronous
75,1993123.5,2.0156292326698435,-0.3150850551765541,-1.8875361523929108,-0.5759960550156035,7,3,Synchronous
