.groups,time,HR1,HR2,Resp1,Resp2,group,trial,condition
1,16.703776,0.7421408461377285,-2.495966185651428,0.17762857246389693,-0.3511689894473731,2,3,SelfPaced
2,16.705442,0.7421408461377285,-2.495966185651428,-0.17378095333405452,-0.33454970561289443,2,3,SelfPaced
3,16.707109,0.7421408461377285,-2.495966185651428,-0.4459290775590541,-0.20018511394646904,2,3,SelfPaced
4,16.708777,0.7421408461377285,-2.495966185651428,-0.5465992595696135,0.10535690282525306,2,3,SelfPaced
5,16.71044,0.7421408461377285,-2.495966185651428,-0.40295253214287713,0.5002571163043819,2,3,SelfPaced
6,16.712108,0.7421408461377285,-2.495966185651428,-0.01157596913980125,0.8479972059167746,2,3,SelfPaced
7,16.713775000000002,0.7421408461377285,-2.495966185651428,0.519859171569533,1.0556303283504964,2,3,SelfPaced
8,16.715441,0.7421408461377285,-2.495966185651428,1.0386865889627783,1.1261091733231683,2,3,SelfPaced
9,16.717107,0.9091268254302338,-2.495966185651428,1.3885235876965407,1.1094680393013205,2,3,SelfPaced
10,16.718776,0.9562254349742738,-2.495966185651428,1.537223444800443,1.0428935245758522,2,3,SelfPaced
11,16.720443,0.9562254349742738,-2.495966185651428,1.5224155674485407,0.9390094165892319,2,3,SelfPaced
12,16.722108,0.9562254349742738,-2.495966185651428,1.4054507158573055,0.8013721162170601,2,3,SelfPaced
13,16.723776,0.9562254349742738,-2.495966185651428,1.2833654872095734,0.65731186788247,2,3,SelfPaced
14,16.725442,0.9562254349742738,-2.495966185651428,1.2025812811903487,0.522436176569956,2,3,SelfPaced
15,16.727109,0.9562254349742738,-2.495966185651428,1.1403327883642056,0.3927241598032706,2,3,SelfPaced
16,16.728774,0.9562254349742738,-2.495966185651428,1.0607341841626654,0.2802447403182403,2,3,SelfPaced
17,16.73044,0.9562254349742738,-2.495966185651428,0.9488200508675635,0.18060880513468652,2,3,SelfPaced
18,16.732108,0.9562254349742738,-2.495966185651428,0.8778380409233808,0.053790460634211924,2,3,SelfPaced
19,16.733775,0.9374345352200296,-2.495966185651428,0.9581047819709329,-0.09314568297689368,2,3,SelfPaced
20,16.73544,0.9321345378534479,-2.495966185651428,1.216840180484366,-0.23298364784829428,2,3,SelfPaced
21,16.737108,0.9321345378534479,-2.495966185651428,1.5707650619956786,-0.3098293745916382,2,3,SelfPaced
22,16.738777,0.9321345378534479,-2.495966185651428,1.798892021105028,-0.3292257906854983,2,3,SelfPaced
23,16.740442,0.9321345378534479,-2.495966185651428,1.7397194876933242,-0.3330973388426152,2,3,SelfPaced
24,16.742107999999998,0.9321345378534479,-2.495966185651428,1.415016622393153,-0.34392104602359735,2,3,SelfPaced
25,16.743776,0.9321345378534479,-2.495966185651428,1.0073092343539518,-0.34824788018209596,2,3,SelfPaced
26,16.745442,0.9321345378534479,-2.495966185651428,0.6448713073856525,-0.3402232984375605,2,3,SelfPaced
27,16.747107,0.9321345378534479,-2.495966185651428,0.36837411998060443,-0.33910876184687533,2,3,SelfPaced
28,16.748774,0.9321345378534479,-2.495966185651428,0.13900264203366067,-0.44951447666888605,2,3,SelfPaced
29,16.750441,1.299899290186522,-2.495966185651428,-0.053884965258325555,-0.6614377008491581,2,3,SelfPaced
30,16.752108,1.4036278100753379,-2.495966185651428,-0.21952494735809,-0.8517551138599947,2,3,SelfPaced
31,16.753775,1.4036278100753379,-2.495966185651428,-0.32585557173565,-0.9712756387688909,2,3,SelfPaced
32,16.755442,1.4036278100753379,-2.495966185651428,-0.3473389052040814,-1.0189554507943943,2,3,SelfPaced
33,16.757109,1.4036278100753379,-2.495966185651428,-0.31890171205845025,-0.9676869378487051,2,3,SelfPaced
34,16.758777,1.4036278100753379,-2.495966185651428,-0.2785704612186129,-0.8468883574180958,2,3,SelfPaced
35,16.760442,1.4036278100753379,-2.495966185651428,-0.2693781676168256,-0.7249395951082762,2,3,SelfPaced
36,16.762108,1.4036278100753379,-2.495966185651428,-0.30270144830322004,-0.6341405933688742,2,3,SelfPaced
37,16.763776,1.4036278100753379,-2.495966185651428,-0.36477633791341607,-0.5835205727401159,2,3,SelfPaced
38,16.765441,1.4036278100753379,-2.495966185651428,-0.4306537785796044,-0.6158151700987233,2,3,SelfPaced
39,16.767107,1.730792402378907,-2.495966185651428,-0.47280488121309105,-0.714129165541931,2,3,SelfPaced
40,16.768775,1.8230695950799136,-1.8990365031693823,-0.47741016929335,-0.8091142927698465,2,3,SelfPaced
41,16.770441,1.8230695950799136,-1.5632635567732316,-0.47842286086303976,-0.8694333725746781,2,3,SelfPaced
42,16.772108,1.8230695950799136,-1.5632635567732316,-0.5427047796800037,-0.9552308671061999,2,3,SelfPaced
43,16.773776,1.8230695950799136,-1.5632635567732316,-0.6098128282207521,-1.1176310399428793,2,3,SelfPaced
44,16.775443,1.8230695950799136,-1.5632635567732316,-0.6307850609646688,-1.3106385657694772,2,3,SelfPaced
45,16.777109,1.8230695950799136,-1.5632635567732316,-0.603560782894826,-1.4681992863871776,2,3,SelfPaced
46,16.778776,1.8230695950799136,-1.3473396884706035,-0.5802445491936511,-1.5517536130387146,2,3,SelfPaced
47,16.780441,1.8230695950799136,-0.6635807721789478,-0.608400279398824,-1.5519076333685022,2,3,SelfPaced
48,16.782108,1.8230695950799136,-0.6635807721789478,-0.6923810654881133,-1.5112949168463874,2,3,SelfPaced
49,16.783775,2.0142923671518167,-0.6635807721789478,-0.78936119315487,-1.4867119240237083,2,3,SelfPaced
50,16.78544,2.0682269951720973,-0.6635807721789478,-0.8061125875918357,-1.5034589453200269,2,3,SelfPaced
51,16.787107,2.0682269951720973,-0.6635807721789478,-0.756859448091437,-1.5403873961417363,2,3,SelfPaced
52,16.788775,2.0682269951720973,-0.652354417748389,-0.6796993096485963,-1.578147604407531,2,3,SelfPaced
53,16.790442,2.0682269951720973,-0.10226305065100229,-0.6113291747954734,-1.6055633252452377,2,3,SelfPaced
54,16.792108,2.0682269951720973,-0.10226305065100229,-0.5662012587686642,-1.6309973110306428,2,3,SelfPaced
55,16.793776,2.0682269951720973,-0.10226305065100229,-0.5454158324917778,-1.518230121377716,2,3,SelfPaced
