.groups,time,HR1,HR2,Resp1,Resp2,group,trial,condition
1,16.981342,NaN,-0.3101359011741324,-2.508042176954472,NaN,8,2,Synchronous
2,16.983009,NaN,-0.3101359011741324,-2.508042176954472,NaN,8,2,Synchronous
3,16.984676,NaN,-0.3101359011741324,-2.479145188534913,NaN,8,2,Synchronous
4,16.98634,NaN,-0.3101359011741324,-2.061859975942593,NaN,8,2,Synchronous
5,16.988008,NaN,-0.3101359011741324,-1.4318753933429484,NaN,8,2,Synchronous
6,16.989675000000002,NaN,-0.326905535504569,-0.7640495131357913,NaN,8,2,Synchronous
7,16.99134,NaN,-0.35006360196088626,-0.1261238629843618,NaN,8,2,Synchronous
8,16.993007,NaN,-0.35006360196088626,0.37728445253973053,NaN,8,2,Synchronous
9,16.994676,NaN,-0.35006360196088626,0.6941504029948203,NaN,8,2,Synchronous
10,16.996342,NaN,-0.35006360196088626,0.8482741327149635,NaN,8,2,Synchronous
11,16.998008,NaN,-0.35006360196088626,0.8803029596380735,NaN,8,2,Synchronous
12,16.999676,NaN,-0.36691942114786147,0.8521887261847456,NaN,8,2,Synchronous
13,17.001343,NaN,-0.41489367575694475,0.7921952037973244,NaN,8,2,Synchronous
14,17.003009,NaN,-0.41489367575694475,0.7178308896497084,NaN,8,2,Synchronous
15,17.004674,NaN,-0.41489367575694475,0.668384843759499,NaN,8,2,Synchronous
16,17.006341,NaN,-0.41489367575694475,0.6349280381930952,NaN,8,2,Synchronous
17,17.008008,NaN,-0.41489367575694475,0.6320971858243718,NaN,8,2,Synchronous
18,17.009675,NaN,-0.41489367575694475,0.669816642716381,NaN,8,2,Synchronous
19,17.01134,NaN,-0.535726718207873,0.7294191287201139,NaN,8,2,Synchronous
20,17.013009,NaN,-0.5622510445995402,0.7522523243970877,NaN,8,2,Synchronous
21,17.014677,NaN,-0.5622510445995402,0.7182467580717186,NaN,8,2,Synchronous
22,17.016341999999998,NaN,-0.5622510445995402,0.6478742623042711,NaN,8,2,Synchronous
23,17.018008,NaN,-0.5622510445995402,0.5531725087708272,NaN,8,2,Synchronous
24,17.019677,NaN,-0.5622510445995402,0.45366957613563835,NaN,8,2,Synchronous
25,17.021342,NaN,-0.5622510445995402,0.3569657054025297,NaN,8,2,Synchronous
26,17.023007,NaN,-0.8198004772163898,0.2745511718863281,NaN,8,2,Synchronous
27,17.024675,NaN,-0.8617271290377374,0.24498358199230005,NaN,8,2,Synchronous
28,17.026341,NaN,-0.8617271290377374,0.27948087725235576,NaN,8,2,Synchronous
29,17.028008,NaN,-0.8617271290377374,0.34186264139137407,NaN,8,2,Synchronous
30,17.029674,NaN,-0.8617271290377374,0.45394859546733485,NaN,8,2,Synchronous
31,17.031342,NaN,-0.8617271290377374,0.6299489416299653,NaN,8,2,Synchronous
32,17.033009,NaN,-0.8617271290377374,0.7919168666644828,NaN,8,2,Synchronous
33,17.034676,NaN,-0.9486589753064308,0.8499745815809459,NaN,8,2,Synchronous
34,17.036342,NaN,-1.0289037564775325,0.7989331454484249,NaN,8,2,Synchronous
35,17.038008,NaN,-1.0289037564775325,0.7084786255464628,NaN,8,2,Synchronous
36,17.039676,NaN,-1.0289037564775325,0.6379099293883163,NaN,8,2,Synchronous
37,17.04134,NaN,-1.0289037564775325,0.5874154802977374,NaN,8,2,Synchronous
38,17.043007,NaN,-1.0289037564775325,0.518716418321614,NaN,8,2,Synchronous
39,17.044675,NaN,-1.0289037564775325,0.44477916065723033,NaN,8,2,Synchronous
40,17.046341,NaN,-1.032066203075397,0.40481922628561806,NaN,8,2,Synchronous
41,17.048007,NaN,-1.0514926607479944,0.4286779032814332,NaN,8,2,Synchronous
42,17.049676,NaN,-1.0514926607479944,0.4824991633083233,NaN,8,2,Synchronous
43,17.051343,NaN,-1.0514926607479944,0.5173960906576396,NaN,8,2,Synchronous
44,17.053008,NaN,-1.0514926607479944,0.4981844158223391,NaN,8,2,Synchronous
45,17.054676,NaN,-1.0514926607479944,0.542775525341029,NaN,8,2,Synchronous
46,17.056342,NaN,-1.0514926607479944,0.7081035526159818,NaN,8,2,Synchronous
47,17.058008,NaN,-1.0514926607479944,0.8719697641844327,NaN,8,2,Synchronous
48,17.059674,NaN,-0.9847137746500446,0.9262800243505891,NaN,8,2,Synchronous
49,17.06134,NaN,-0.9781092694315661,0.9280956283832958,NaN,8,2,Synchronous
50,17.063008,NaN,-0.9781092694315661,0.7215230862927593,NaN,8,2,Synchronous
51,17.064675,NaN,-0.9781092694315661,0.5668130748766261,NaN,8,2,Synchronous
52,17.066342,NaN,-0.9781092694315661,0.5451018234365919,NaN,8,2,Synchronous
53,17.068008,NaN,-0.9781092694315661,0.5905340841435013,NaN,8,2,Synchronous
54,17.069677,NaN,-0.9689680131568796,0.6647288036557634,NaN,8,2,Synchronous
55,17.071343,NaN,-0.7952841439378381,0.7336322524088458,NaN,8,2,Synchronous
56,17.073008,NaN,-0.7952841439378381,0.7605778792235525,NaN,8,2,Synchronous
57,17.074676,NaN,-0.7952841439378381,0.7356643863581308,NaN,8,2,Synchronous
58,17.076341,NaN,-0.7952841439378381,0.683340825697516,NaN,8,2,Synchronous
59,17.078008,NaN,-0.7952841439378381,0.6455857580252761,NaN,8,2,Synchronous
60,17.079674,NaN,-0.7952841439378381,0.6463762900584543,NaN,8,2,Synchronous
61,17.081341,NaN,-0.7545719817442159,0.6638999320469338,NaN,8,2,Synchronous
62,17.083008,NaN,-0.6935037384537828,0.6543361862986372,NaN,8,2,Synchronous
63,17.084675999999998,NaN,-0.6935037384537828,0.6153213702207471,NaN,8,2,Synchronous
64,17.086342,NaN,-0.6935037384537828,0.5724664567880416,NaN,8,2,Synchronous
65,17.088009,NaN,-0.6935037384537828,0.5372836881184785,NaN,8,2,Synchronous
66,17.089677,NaN,-0.6935037384537828,0.5125950479956657,NaN,8,2,Synchronous
67,17.091342,NaN,-0.6935037384537828,0.5290765630132419,NaN,8,2,Synchronous
68,17.093008,NaN,-0.6411228146582054,0.6096711264240647,NaN,8,2,Synchronous
69,17.094675,NaN,-0.6318791222236918,0.6920228976456059,NaN,8,2,Synchronous
70,17.096341,NaN,-0.6318791222236918,0.741051574276324,NaN,8,2,Synchronous
71,17.098007,NaN,-0.6318791222236918,0.763257829205549,NaN,8,2,Synchronous
72,17.099674,NaN,-0.6318791222236918,0.7677651170405584,NaN,8,2,Synchronous
73,17.101342,NaN,-0.6318791222236918,0.7678071404900265,NaN,8,2,Synchronous
74,17.103008,NaN,-0.5960258960629745,0.7678188743103327,NaN,8,2,Synchronous
75,17.104676,NaN,-0.5503945173129707,0.7677480620691833,NaN,8,2,Synchronous
76,17.106342,NaN,-0.5503945173129707,0.7615509676703298,NaN,8,2,Synchronous
77,17.108009,NaN,-0.5503945173129707,0.7506836763498923,NaN,8,2,Synchronous
78,17.109676,NaN,-0.5503945173129707,0.7371507612234127,NaN,8,2,Synchronous
79,17.11134,NaN,-0.5503945173129707,0.7066507419343661,NaN,8,2,Synchronous
80,17.113008,NaN,-0.5359224262587557,0.703285864301946,NaN,8,2,Synchronous
81,17.114675000000002,NaN,-0.46526456993523546,0.7225693064567927,NaN,8,2,Synchronous
82,17.11634,NaN,-0.46526456993523546,0.7369870334982117,NaN,8,2,Synchronous
83,17.118007,NaN,-0.46526456993523546,0.7526620530294029,NaN,8,2,Synchronous
84,17.119676,NaN,-0.46526456993523546,0.7703529701771292,NaN,8,2,Synchronous
85,17.121342,NaN,-0.46526456993523546,0.7847958021364123,NaN,8,2,Synchronous
86,17.123008,NaN,-0.46278887327408963,0.7862042698924531,NaN,8,2,Synchronous
87,17.124676,NaN,-0.3827413478970412,0.781055305814427,NaN,8,2,Synchronous
88,17.126343,NaN,-0.3827413478970412,0.7606091239311117,NaN,8,2,Synchronous
89,17.128009,NaN,-0.3827413478970412,0.7076789520486275,NaN,8,2,Synchronous
90,17.129674,NaN,-0.3827413478970412,0.636190106074852,NaN,8,2,Synchronous
91,17.131341,NaN,-0.3827413478970412,0.5670706731642755,NaN,8,2,Synchronous
92,17.133008,NaN,-0.3827413478970412,0.5114803350665899,NaN,8,2,Synchronous
93,17.134675,NaN,-0.35202426671705556,0.45134655259457984,NaN,8,2,Synchronous
94,17.13634,NaN,-0.35006360196088626,0.3744615136777252,NaN,8,2,Synchronous
95,17.138009,NaN,-0.35006360196088626,0.2858258723629741,NaN,8,2,Synchronous
96,17.139677,NaN,-0.35006360196088626,0.21526577191040058,NaN,8,2,Synchronous
97,17.141341999999998,NaN,-0.35006360196088626,0.15825113904323845,NaN,8,2,Synchronous
98,17.143008,NaN,-0.35006360196088626,0.12338613860033593,NaN,8,2,Synchronous
99,17.144677,NaN,-0.3066694452335437,0.1262167180895172,NaN,8,2,Synchronous
100,17.146342,NaN,-0.3034032183830986,0.14343623582843626,NaN,8,2,Synchronous
101,17.148007,NaN,-0.3034032183830986,0.13567090270170024,NaN,8,2,Synchronous
102,17.149675,NaN,-0.3034032183830986,0.1021522899190331,NaN,8,2,Synchronous
103,17.151341,NaN,-0.3034032183830986,0.06138449566332585,NaN,8,2,Synchronous
104,17.153008,NaN,-0.3034032183830986,0.013217436186477409,NaN,8,2,Synchronous
