.groups,time,HR1,HR2,Resp1,Resp2,group,trial,condition
1,10.089108,-1.117082986565016,-0.13330672216595854,0.8437293416238678,-0.20763011415706753,4,4,Conversation
2,10.090775,-1.117082986565016,-0.13330672216595854,0.9008275463353793,0.14683036305123784,4,4,Conversation
3,10.092440999999999,-1.117082986565016,-0.13330672216595854,0.9080918171682627,0.47264236754361766,4,4,Conversation
4,10.094108,-1.117082986565016,-0.13330672216595854,0.8913849998332287,0.7261244274466044,4,4,Conversation
5,10.095776,-1.117082986565016,-0.13330672216595854,0.8767442527352788,0.8856638180375216,4,4,Conversation
6,10.097443,-1.117082986565016,-0.13330672216595854,0.8662241434269596,0.9847972818591595,4,4,Conversation
7,10.099107,-1.117082986565016,-0.13330672216595854,0.848360112621132,1.0912417277988584,4,4,Conversation
8,10.100775,-1.117082986565016,-0.13330672216595854,0.8290168655213985,1.2708090347761825,4,4,Conversation
9,10.10244,-1.117082986565016,-0.13330672216595854,0.8184034687180439,1.4671377739581337,4,4,Conversation
10,10.104109,-1.117082986565016,-0.13330672216595854,0.8172313162261375,1.5951619724106332,4,4,Conversation
11,10.105776,-1.117082986565016,-0.13330672216595854,0.8192209551033882,1.6405227915837153,4,4,Conversation
12,10.107441,-1.108024524118081,-0.13330672216595854,0.8193006419399774,1.6419471165368882,4,4,Conversation
13,10.109107999999999,-1.016433403821295,-0.07103632781329555,0.818694616855904,1.6496302934308371,4,4,Conversation
14,10.110775,-1.016433403821295,0.02236926371569893,0.8277064999552266,1.6377506111245679,4,4,Conversation
15,10.112441,-1.016433403821295,0.02236926371569893,0.8431122840907886,1.5682613993854768,4,4,Conversation
16,10.114109,-1.016433403821295,0.02236926371569893,0.8542503190593218,1.4496082941754354,4,4,Conversation
17,10.115777,-1.016433403821295,0.02236926371569893,0.8618242942475733,1.3528367210262116,4,4,Conversation
18,10.11744,-1.016433403821295,0.02236926371569893,0.8774341967757238,1.2990540170593885,4,4,Conversation
